knockdown_PmSTAT-UP	WSSV_infection-UP
	TRINITY_DN83603_c3_g2
	TRINITY_DN80049_c0_g2
	TRINITY_DN81272_c7_g1
	TRINITY_DN11295_c0_g1
	TRINITY_DN81432_c4_g1
	TRINITY_DN92111_c11_g1
	TRINITY_DN87250_c13_g2
	TRINITY_DN92421_c3_g1
	TRINITY_DN74618_c11_g2
	TRINITY_DN84602_c9_g1
	TRINITY_DN91796_c11_g1
	TRINITY_DN75885_c9_g1
	TRINITY_DN91575_c4_g1
	TRINITY_DN87971_c9_g2
	TRINITY_DN73996_c7_g1
	TRINITY_DN90183_c2_g4
	TRINITY_DN88499_c3_g4
	TRINITY_DN73948_c11_g1
	TRINITY_DN88354_c11_g1
	TRINITY_DN86171_c2_g2
	TRINITY_DN75179_c6_g1
	TRINITY_DN51726_c0_g1
	TRINITY_DN109267_c2_g1
	TRINITY_DN78568_c5_g1
	TRINITY_DN88906_c12_g1
	TRINITY_DN75194_c12_g1
	TRINITY_DN84738_c6_g1
	TRINITY_DN92103_c5_g1
	TRINITY_DN73331_c9_g2
	TRINITY_DN87665_c5_g6
	TRINITY_DN93624_c1_g7
	TRINITY_DN88499_c3_g2
	TRINITY_DN91105_c5_g9
	TRINITY_DN89332_c16_g1
	TRINITY_DN85889_c11_g1
	TRINITY_DN73599_c16_g1
	TRINITY_DN80251_c5_g1
	TRINITY_DN89131_c2_g4
	TRINITY_DN76872_c13_g2
	TRINITY_DN91105_c5_g4
	TRINITY_DN88594_c14_g1
	TRINITY_DN81343_c4_g1
	TRINITY_DN90677_c13_g1
	TRINITY_DN93155_c5_g4
	TRINITY_DN79256_c5_g1
	TRINITY_DN87132_c12_g1
	TRINITY_DN73011_c13_g3
	TRINITY_DN90134_c4_g2
	TRINITY_DN85331_c3_g1
	TRINITY_DN83175_c18_g1
	TRINITY_DN93519_c15_g1
	TRINITY_DN81338_c9_g1
	TRINITY_DN89887_c7_g5
	TRINITY_DN77729_c6_g2
	TRINITY_DN83493_c3_g2
	TRINITY_DN90183_c3_g1
	TRINITY_DN78204_c6_g1
	TRINITY_DN83129_c1_g1
	TRINITY_DN90611_c2_g1
	TRINITY_DN90356_c3_g1
	TRINITY_DN84567_c7_g1
	TRINITY_DN88509_c3_g1
	TRINITY_DN87192_c0_g1
	TRINITY_DN87514_c7_g1
	TRINITY_DN80709_c9_g1
	TRINITY_DN87063_c12_g4
	TRINITY_DN93379_c13_g2
	TRINITY_DN89641_c6_g1
	TRINITY_DN74017_c1_g1
	TRINITY_DN92524_c15_g1
	TRINITY_DN93714_c3_g1
	TRINITY_DN78435_c12_g1
	TRINITY_DN83265_c6_g1
	TRINITY_DN89887_c7_g1
	TRINITY_DN72377_c16_g1
	TRINITY_DN84928_c12_g1
	TRINITY_DN73661_c3_g1
	TRINITY_DN71776_c2_g2
	TRINITY_DN73052_c19_g1
	TRINITY_DN82553_c9_g2
	TRINITY_DN73247_c11_g1
	TRINITY_DN76911_c7_g1
	TRINITY_DN81395_c11_g1
	TRINITY_DN72274_c13_g1
	TRINITY_DN82891_c2_g1
	TRINITY_DN90878_c13_g1
	TRINITY_DN75536_c12_g1
	TRINITY_DN83363_c10_g1
	TRINITY_DN87908_c7_g1
	TRINITY_DN87366_c10_g4
	TRINITY_DN71421_c11_g1
	TRINITY_DN72268_c16_g1
	TRINITY_DN92751_c2_g1
